22	20
8	20
87	88
85	88
89	88
64	67
62	67
67	68
12	14
16	14
13	14
3	6
88	84
85	84
83	84
50	64
2	4
3	4
99	97
89	90
81	82
83	82
73	79
45	79
80	79
74	79
67	70
67	66
39	40
38	40
71	73
72	73
55	54
45	81
80	81
44	81
68	69
73	45
46	45
44	45
25	27
30	27
26	27
22	8
9	8
32	37
36	37
38	37
41	43
20	21
23	21
6	35
36	35
6	7
8	7
70	75
76	75
74	75
90	91
95	91
92	91
24	25
42	46
48	46
49	50
51	50
58	59
57	59
59	56
55	56
30	32
48	32
31	32
70	71
66	71
65	71
84	92
93	92
89	92
9	17
16	17
30	29
28	29
13	15
46	72
65	72
22	23
27	23
68	62
60	62
98	99
29	49
65	49
48	49
36	39
67	63
64	63
52	63
64	65
48	65
25	51
52	51
22	30
8	33
37	33
32	33
54	57
58	57
56	57
47	38
88	86
78	86
78	80
5	2
1	2
97	96
91	96
98	96
69	76
77	76
61	76
78	77
93	94
5	10
12	10
9	10
4	9
23	24
15	16
19	16
10	11
12	13
11	13
68	61
59	61
60	61
83	93
80	85
3	1
27	28
50	28
35	34
33	34
40	42
41	42
30	48
47	48
87	89
58	53
59	53
52	53
20	18
17	18
19	18
43	44
42	44
21	19
24	26
59	60
53	60
97	100
99	100
8	31
30	31
97	98
95	98
94	98
73	74
77	74
78	74
94	100
